Marca temporal,1 - ¿Tienes mascota?,2 - Indica tu género ,3 - Edad ,4 - ¿Qué mascotas tienes? ,5 - Si tienes perro...,6 - Si tienes gato...,7 - ¿Cuánto tiempo al día pasas con tu mascota? ,8 - ¿Cuándo vas de vacaciones viajas con tu mascota? ,"9 - Aproximadamente, ¿cuánto dinero gastas al año en tu mascota?",10 - ¿Tienes esterilizada a tu mascota?,"11 - Si tienes perro, ¿de qué raza es? ","12 - Si tienes gato, ¿de qué raza es? ",13 - ¿Consideras que tu mascota te hace más feliz?,14 - ¿Consideras que tu mascota es un miembro más de la familia?
22/04/2024 18:01:11,Sí,Mujer,25- 35 años,Perro,Comprado,,+ de 1 hora,No,Menos de 1000€,Sí,Golden retriever,,Sí,Sí
22/04/2024 18:09:49,Sí,Mujer,25- 35 años,Perro,Adoptado,,30 minutos,No,Entre 1000€ y 2000€,Sí,"Braco de Weimar, Vizsla",,Sí,Sí
22/04/2024 18:12:14,Sí,Hombre,25- 35 años,Gato,,Adoptado,+ de 1 hora,No,Menos de 1000€,Sí,,Otro,Sí,Sí
22/04/2024 18:12:26,No,Mujer,18-25 años,Ninguna,,,,,,,,,,
22/04/2024 18:25:17,Sí,Mujer,25- 35 años,Gato,,Adoptado,+ de 1 hora,No,Entre 2000€ y 3000€,Sí,,"Siamés, Otro",Sí,Sí
22/04/2024 18:27:42,Sí,Hombre,25- 35 años,"Perro, Gato",Adoptado,Adoptado,+ de 1 hora,A veces,Entre 1000€ y 2000€,Sí,Mezcla de pastor alemán y galgo,Otro,Sí,Sí
22/04/2024 18:39:55,Sí,Mujer,35 - 45 años,Perro,Adoptado,,+ de 1 hora,No,Menos de 1000€,Sí,Mestizo,,Sí,Sí
22/04/2024 18:42:44,Sí,"Hombre, Mujer",25- 35 años,Perro,Comprado,,+ de 1 hora,A veces,Menos de 1000€,No,,,Sí,Sí
22/04/2024 18:46:51,Sí,Mujer,25- 35 años,"Perro, Gato",Comprado,Adoptado,+ de 1 hora,A veces,Menos de 1000€,Sí,Teckel,Siamés,Sí,Sí
22/04/2024 18:47:15,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,No,Menos de 1000€,Sí,Mestizo,,Sí,Sí
22/04/2024 19:12:41,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,A veces,Entre 1000€ y 2000€,Sí,Mestizo,,Sí,Sí
22/04/2024 19:15:01,Sí,Mujer,45 -55 años,"Gato, Periquito ",,Adoptado,+ de 1 hora,No,Menos de 1000€,Sí,,"Angora turco, Siberiano",Sí,Sí
22/04/2024 19:22:24,Sí,Mujer,35 - 45 años,Gato,,Adoptado,"1 hora, + de 1 hora",No,Menos de 1000€,Sí,,"Siamés, Otro",Sí,Sí
22/04/2024 19:41:45,No,Mujer,45 -55 años,,,,,,,,,,Sí,Sí
22/04/2024 20:03:26,Sí,Hombre,35 - 45 años,Perro,Adoptado,,+ de 1 hora,A veces,Menos de 1000€,No,Caniche,,Sí,Sí
22/04/2024 20:23:53,Sí,Hombre,25- 35 años,"Perro, Gato",Comprado,Adoptado,+ de 1 hora,No,,Sí,Border Collie,No lo sé,Sí,Sí
22/04/2024 20:48:26,No,Mujer,18-25 años,,,,,,,,,,,
22/04/2024 20:58:51,No,Mujer,+55 años,,,,,,,,,,,
22/04/2024 21:04:15,Sí,Mujer,25- 35 años,"Perro, Gato",Adoptado,Adoptado,+ de 1 hora,A veces,Entre 2000€ y 3000€,Sí,Mestizo,Otro,Sí,Sí
22/04/2024 21:05:16,Sí,Mujer,25- 35 años,"Perro, Gato",Adoptado,Adoptado,"1 hora, + de 1 hora",No,Menos de 1000€,Sí,Mestizo,No lo sé,Sí,Sí
22/04/2024 21:10:02,Sí,Mujer,45 -55 años,Gato,,Adoptado,+ de 1 hora,Sí,Entre 2000€ y 3000€,Sí,,Otro,Sí,Sí
22/04/2024 21:40:26,Sí,Hombre,25- 35 años,Gato,,Adoptado,+ de 1 hora,No,Menos de 1000€,Sí,,Otro,Sí,Sí
22/04/2024 21:45:28,Sí,Mujer,25- 35 años,Perro,Comprado,,+ de 1 hora,A veces,Menos de 1000€,Sí,Bichon maltés ,,Sí,Sí
22/04/2024 21:52:03,No,Mujer,35 - 45 años,,,,,,,,,,,
22/04/2024 22:09:53,Sí,Mujer,25- 35 años,Perro,Comprado,,+ de 1 hora,A veces,Entre 2000€ y 3000€,No,Golden retriever,,Sí,Sí
23/04/2024 1:47:25,Sí,Mujer,25- 35 años,Gato,,Adoptado,+ de 1 hora,A veces,Entre 1000€ y 2000€,Sí,,Otro,Sí,Sí
23/04/2024 1:52:48,Sí,Hombre,18-25 años,Perro,Adoptado,,+ de 1 hora,No,Entre 1000€ y 2000€,Sí,Palleiro ,,Sí,Sí
23/04/2024 3:58:51,Sí,Mujer,35 - 45 años,Gato,,Adoptado,+ de 1 hora,No,Menos de 1000€,Sí,,"Siamés, Otro",Sí,Sí
23/04/2024 6:34:18,Sí,Mujer,25- 35 años,Gato,,Adoptado,+ de 1 hora,No,Menos de 1000€,Sí,,Otro,Sí,Sí
23/04/2024 8:04:34,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,A veces,Menos de 1000€,No,Mestizo,,Sí,Sí
23/04/2024 8:06:30,Sí,Mujer,25- 35 años,Perro,Comprado,,+ de 1 hora,No,Entre 1000€ y 2000€,Sí,Bichon Maltes ,,Sí,Sí
23/04/2024 8:35:06,Sí,Mujer,25- 35 años,"Perro, Ninfa",Adoptado,,+ de 1 hora,No,Menos de 1000€,Sí,Mestizo,,Sí,Sí
23/04/2024 9:33:44,Sí,Mujer,25- 35 años,Perro,Comprado,,+ de 1 hora,A veces,Entre 2000€ y 3000€,Sí,Caniche,,Sí,Sí
23/04/2024 9:40:15,Sí,Hombre,35 - 45 años,"Perro, Gato",Adoptado,Adoptado,+ de 1 hora,A veces,Entre 1000€ y 2000€,Sí,Mestizo,"Siamés, Otro",Sí,Sí
23/04/2024 9:47:40,Sí,Hombre,35 - 45 años,Gato,,Adoptado,+ de 1 hora,A veces,Entre 1000€ y 2000€,Sí,,Otro,Sí,Sí
23/04/2024 9:48:22,Sí,Mujer,25- 35 años,"Perro, Gato","Comprado, Adoptado",Adoptado,+ de 1 hora,A veces,Entre 1000€ y 2000€,Sí,"Caniche, Mestizo, Galgo español",No lo sé,Sí,Sí
23/04/2024 10:03:29,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,A veces,Entre 2000€ y 3000€,Sí,Bulmastiff,,Sí,Sí
23/04/2024 10:10:19,No,Mujer,35 - 45 años,,,,,,,,,,,
23/04/2024 10:12:10,No,Mujer,25- 35 años,,,,,,,,,,,
23/04/2024 10:28:45,Sí,Hombre,+55 años,Perro,Comprado,,+ de 1 hora,No,Menos de 1000€,No,Galgo español,,No,Sí
23/04/2024 11:31:42,Sí,Mujer,35 - 45 años,Perro,Comprado,,+ de 1 hora,A veces,Menos de 1000€,Sí,Bulldog frances,,Sí,Sí
23/04/2024 11:34:24,Sí,Hombre,35 - 45 años,,,,15 minutos,No,Menos de 1000€,No,,,Sí,Sí
